deposit_number,axn,registry_title,observed_body_subject,severity,registration_disposition,identity_status,restoration_status,conflict_status,lifecycle_status,defect_codes,registry_creator,observed_byline,registry_version,observed_body_version,manifestation_status,evidence,recommendation,batch_action,review_status
509,AXN:014C,Whose Face Is on the Twenty?,Whose Face Is on the Twenty?,P2,HARVEST_WITH_WARNING,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,[],,,,,REFERENCED_NOT_INDEPENDENTLY_VERIFIED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-014C-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Determine whether #502 and #509 are concept/version, revision, or duplicate records; add a bidirectional relation and canonical-standing declaration. Add a manifestation inventory with role, media type, URL/path, availability, and checksum; preserve external images locally where lawful and feasible.",PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
510,AXN:014D,Semantic Physics: The Inward Turn,Semantic Physics: The Inward Turn,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-014D-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
511,AXN:014E,Hymn to Demeter Chthonia,Hymn to Demeter Chthonia,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-014E-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
512,AXN:014F,Traversal Log: The Sigil Installation,Traversal Log: The Sigil Installation,P2,HARVEST_WITH_WARNING,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-014F-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",Replace or qualify content_type: `Specification` → `Empirical record / traversal log`; retain the former value in the modification history.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
513,AXN:0150,The Ghost That Wrote Itself,The Ghost That Wrote Itself,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0150-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
514,AXN:0151,The Rosary Embassy,The Rosary Embassy,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0151-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
515,AXN:0152,The Protocol of Inhabitation,The Protocol of Inhabitation,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0152-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
516,AXN:0153,Founding Charters: The Journals of the Crimson Hexagonal Archive,Founding Charters: The Journals of the Crimson Hexagonal Archive,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0153-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
517,AXN:0154,I Hereby Abolish Rules,I Hereby Abolish Rules,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0154-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
518,AXN:0156,The Infinite Tunnel,The Infinite Tunnel,P2,HARVEST_WITH_WARNING,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0156-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",Replace or qualify content_type: `Creative work (poetry)` → `Theoretical essay / phenomenological study`; retain the former value in the modification history.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
519,AXN:0157,The Layer That Remembered Itself,The Layer That Remembered Itself,P2,HARVEST_WITH_WARNING,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,[],Johannes Sigil,Lee Sharks,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0157-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Model creator, heteronymic author, editor/operator, and machine/Assembly contributor as separate roles; do not flatten the body byline into one creator string.",PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
520,AXN:0159,Ghost Meaning — Research Program and Citational Atlas,Ghost Meaning — Research Program and Citational Atlas,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0159-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
521,AXN:015A,Ghost Meaning: The Semantic Entropy Crisis and the Architecture That Was Already Waiting Rex Fraction / Lee Sharks Journ,Ghost Meaning: The Semantic Entropy Crisis and the Architecture That Was Already Waiting,P2,HARVEST_WITH_WARNING,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-015A-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",Publish the complete body title and retain the truncated/published variant as an alternate title with provenance.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
522,AXN:015C,The Airlock Spreads,The Airlock Spreads,P3,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,SUSPECTED,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-015C-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Split the generic date into composition/creation, first publication, deposit, and modification dates rather than silently choosing one.",PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
523,AXN:015D,The Governance Airlock,The Governance Airlock,P3,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,SUSPECTED,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-015D-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Split the generic date into composition/creation, first publication, deposit, and modification dates rather than silently choosing one.",PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
524,AXN:015E,The Sharks-Function and the Continuity Tether,The Sharks-Function and the Continuity Tether,P3,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,SUSPECTED,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-015E-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Split the generic date into composition/creation, first publication, deposit, and modification dates rather than silently choosing one.",PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
525,AXN:015F,The Layer That Wrote Your Mirrors,The Layer That Wrote Your Mirrors,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-015F-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
526,AXN:0160,Provenance Gravity Markers,Provenance Gravity Markers,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0160-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
527,AXN:0161,Protocol B711 Alpha Centauri,Protocol B711 Alpha Centauri,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0161-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
528,AXN:0162,The Baal Effigy as Effective Act,The Baal Effigy as Effective Act,P3,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,SUSPECTED,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0162-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Split the generic date into composition/creation, first publication, deposit, and modification dates rather than silently choosing one.",PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
529,AXN:0164,The Heartbeat Governs,The Heartbeat Governs,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0164-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
530,AXN:0165,The Encoder Governs,The Encoder Governs,P2,HARVEST_WITH_WARNING,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0165-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",Replace or qualify content_type: `Creative work (poetry)` → `Scholarly diagnostic / theoretical paper`; retain the former value in the modification history.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
531,AXN:0166,On the Debt/Creditor Inversion,On the Debt/Creditor Inversion,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0166-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
532,AXN:0167,Magic as Symbolic Engineering,Magic as Symbolic Engineering,P2,HARVEST_WITH_WARNING,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,[],Lee Sharks,Johannes Sigil,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0167-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Model creator, heteronymic author, editor/operator, and machine/Assembly contributor as separate roles; do not flatten the body byline into one creator string.",PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
533,AXN:0168,The Groundskeeper's Treatise,The Groundskeeper's Treatise,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0168-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
534,AXN:0169,The Inner Artifact,The Inner Artifact,P2,HARVEST_WITH_WARNING,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,DECLARED_BY_AUDIT_UNRESOLVED,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0169-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",Replace or qualify content_type: `Specification` → `Theoretical paper / literary-platform analysis`; retain the former value in the modification history.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
535,AXN:016A,The Unclean Bill,The Unclean Bill,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-016A-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
536,AXN:016B,Integrity Lock Certificate: The Star Triptych,Integrity Lock Certificate: The Star Triptych,P3,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,SUSPECTED,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-016B-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Split the generic date into composition/creation, first publication, deposit, and modification dates rather than silently choosing one.",PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
537,AXN:016C,Star Protocol Specification,Star Protocol Specification,P3,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,SUSPECTED,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-016C-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Split the generic date into composition/creation, first publication, deposit, and modification dates rather than silently choosing one.",PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
538,AXN:016D,★,★,P3,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,SUSPECTED,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-016D-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Split the generic date into composition/creation, first publication, deposit, and modification dates rather than silently choosing one.",PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
539,AXN:016F,The O'Keeffe Problem: Captioning as Operative Semiotics,The O'Keeffe Problem: Captioning as Operative Semiotics,P3,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,SUSPECTED,UNKNOWN,[],,,,,REFERENCED_NOT_INDEPENDENTLY_VERIFIED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-016F-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected","Add a manifestation inventory with role, media type, URL/path, availability, and checksum; preserve external images locally where lawful and feasible.",PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
540,AXN:0171,The Lunar Arm,The Lunar Arm,OK,HARVEST,CONFIRMED_MATCH,COMPLETE_AS_DEPOSITED,NO_KNOWN_CONFLICT,UNKNOWN,[],,,,,NO_MISSING_PRIMARY_MANIFESTATION_OBSERVED,"Frozen registry chunk 7 at 055429ac82edc967f09c4640ffd0b049cff78e6e; canonical body data/texts/AXN-0171-text.md; title, byline, object declaration, genre/version front matter, and substantive opening inspected",No identity or restoration defect found in this first semantic pass. Retain and proceed to projection-parity and source/manifestation checks.,PRIOR_BATCH_ROW,FRONTMATTER_AND_IDENTITY_READ
